,sample,dynamic_UQ,dynamic_cov,dynamic_cdspct,dynamic_min,dynamic_max,read_pct_analysis_dynamic,UQ_dedup_old,cov_dedup,cov_deu_group,UQ_dedup_new,UQ_dedup_old_class,UQ_dedup_new_class,CDS_network_PCT_L23-36,cancer.CDS_alignment,CDS_network_PCT_old.L28.36.,study_id,cellline,type,digestion
736,GSM4426004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
737,GSM4426005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
738,GSM4426006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
739,GSM4426007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
740,GSM4426008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
741,GSM4426009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
742,GSM4426010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
743,GSM4426011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
744,GSM4426012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
745,GSM4426013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE147324,K562,Leukemia,RNAse I
758,GSM4478779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE140084,HELA,Cervix_cancer,RNAse I
759,GSM4478780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE140084,HELA,Cervix_cancer,RNAse I
760,GSM4478781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE140084,HELA,Cervix_cancer,RNAse I
813,GSM4787156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,HAP1,Leukemia,RNAse I
814,GSM4787157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,HAP1,Leukemia,RNAse I
815,GSM4787158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSE158044,HELA,Cervix_cancer,RNAse I
